code_family,outfield
CACTRATIT,Command and Control > T1219 > Remote Access Tools: IDE Tunneling — Adversaries may abuse Integrated Development Environment (IDE) software with remote development features to establish an interactive command and control channel on target systems within a network.
CACTRATRAH,Command and Control > T1219 > Remote Access Tools: Remote Access Hardware — An adversary may use legitimate remote access hardware to establish an interactive command and control channel to target systems within networks.
CACTRATRDS,Command and Control > T1219 > Remote Access Tools: Remote Desktop Software — An adversary may use legitimate desktop support software to establish an interactive command and control channel to target systems within networks.
LMTRSSHRH,Lateral Movement > T1563 > Remote Service Session Hijacking: RDP Hijacking — Adversaries may hijack a legitimate user’s remote desktop session to move laterally within an environment.
LMTRSSHSH,Lateral Movement > T1563 > Remote Service Session Hijacking: SSH Hijacking — Adversaries may hijack a legitimate user's SSH session to move laterally within an environment.
LMTRSCS,Lateral Movement > T1021 > Remote Services: Cloud Services — Adversaries may log into accessible cloud services within a compromised environment using [Valid Accounts](https:
LMTRSDCVC,Lateral Movement > T1021 > Remote Services: Direct Cloud VM Connections — Adversaries may leverage [Valid Accounts](https:
LMTRSDCOM,Lateral Movement > T1021 > Remote Services: Distributed Component Object Model — Adversaries may use [Valid Accounts](https:
LMTRSRDP,Lateral Movement > T1021 > Remote Services: Remote Desktop Protocol — Adversaries may use [Valid Accounts](https:
LMTRSSWAS,Lateral Movement > T1021 > Remote Services: SMB/Windows Admin Shares — Adversaries may use [Valid Accounts](https:
LMTRSS,Lateral Movement > T1021 > Remote Services: SSH — Adversaries may use [Valid Accounts](https:
LMTRSV,Lateral Movement > T1021 > Remote Services: VNC — Adversaries may use [Valid Accounts](https:
LMTRSWRM,Lateral Movement > T1021 > Remote Services: Windows Remote Management — Adversaries may use [Valid Accounts](https:
ITRHBH,"Impact > T1496 > Resource Hijacking: Bandwidth Hijacking — Adversaries may leverage the network bandwidth resources of co-opted systems to complete resource-intensive tasks, which may impact system and/or hosted service availability."
ITRHCSH,"Impact > T1496 > Resource Hijacking: Cloud Service Hijacking — Adversaries may leverage compromised software-as-a-service (SaaS) applications to complete resource-intensive tasks, which may impact hosted service availability."
ITRHCH,"Impact > T1496 > Resource Hijacking: Compute Hijacking — Adversaries may leverage the compute resources of co-opted systems to complete resource-intensive tasks, which may impact system and/or hosted service availability."
ITRHSP,"Impact > T1496 > Resource Hijacking: SMS Pumping — Adversaries may leverage messaging services for SMS pumping, which may impact system and/or hosted service availability."
ETSTJA,Execution > T1053 > Scheduled Task/Job: At — Adversaries may abuse the [at](https:
PTSTJA,Persistence > T1053 > Scheduled Task/Job: At — Adversaries may abuse the [at](https:
PETSTJA,Privilege Escalation > T1053 > Scheduled Task/Job: At — Adversaries may abuse the [at](https:
ETSTJCOJ,Execution > T1053 > Scheduled Task/Job: Container Orchestration Job — Adversaries may abuse task scheduling functionality provided by container orchestration tools such as Kubernetes to schedule deployment of containers configured to execute malicious code.
PTSTJCOJ,Persistence > T1053 > Scheduled Task/Job: Container Orchestration Job — Adversaries may abuse task scheduling functionality provided by container orchestration tools such as Kubernetes to schedule deployment of containers configured to execute malicious code.
PETSTJCOJ,Privilege Escalation > T1053 > Scheduled Task/Job: Container Orchestration Job — Adversaries may abuse task scheduling functionality provided by container orchestration tools such as Kubernetes to schedule deployment of containers configured to execute malicious code.
ETSTJC,Execution > T1053 > Scheduled Task/Job: Cron — Adversaries may abuse the <code>cron</code> utility to perform task scheduling for initial or recurring execution of malicious code.
PTSTJC,Persistence > T1053 > Scheduled Task/Job: Cron — Adversaries may abuse the <code>cron</code> utility to perform task scheduling for initial or recurring execution of malicious code.
PETSTJC,Privilege Escalation > T1053 > Scheduled Task/Job: Cron — Adversaries may abuse the <code>cron</code> utility to perform task scheduling for initial or recurring execution of malicious code.
ETSTJST,Execution > T1053 > Scheduled Task/Job: Scheduled Task — Adversaries may abuse the Windows Task Scheduler to perform task scheduling for initial or recurring execution of malicious code.
PTSTJST,Persistence > T1053 > Scheduled Task/Job: Scheduled Task — Adversaries may abuse the Windows Task Scheduler to perform task scheduling for initial or recurring execution of malicious code.
PETSTJST,Privilege Escalation > T1053 > Scheduled Task/Job: Scheduled Task — Adversaries may abuse the Windows Task Scheduler to perform task scheduling for initial or recurring execution of malicious code.
ETSTJST,Execution > T1053 > Scheduled Task/Job: Systemd Timers — Adversaries may abuse systemd timers to perform task scheduling for initial or recurring execution of malicious code.
PTSTJST,Persistence > T1053 > Scheduled Task/Job: Systemd Timers — Adversaries may abuse systemd timers to perform task scheduling for initial or recurring execution of malicious code.
PETSTJST,Privilege Escalation > T1053 > Scheduled Task/Job: Systemd Timers — Adversaries may abuse systemd timers to perform task scheduling for initial or recurring execution of malicious code.
RTSCSPTD,Reconnaissance > T1597 > Search Closed Sources: Purchase Technical Data — Adversaries may purchase technical information about victims that can be used during targeting.
RTSCSTIV,Reconnaissance > T1597 > Search Closed Sources: Threat Intel Vendors — Adversaries may search private data from threat intelligence vendors for information that can be used during targeting.
RTSOTDC,Reconnaissance > T1596 > Search Open Technical Databases: CDNs — Adversaries may search content delivery network (CDN) data about victims that can be used during targeting.
RTSOTDDPD,Reconnaissance > T1596 > Search Open Technical Databases: DNS/Passive DNS — Adversaries may search DNS data for information about victims that can be used during targeting.
RTSOTDDC,Reconnaissance > T1596 > Search Open Technical Databases: Digital Certificates — Adversaries may search public digital certificate data for information about victims that can be used during targeting.
RTSOTDSD,Reconnaissance > T1596 > Search Open Technical Databases: Scan Databases — Adversaries may search within public scan databases for information about victims that can be used during targeting.
RTSOTDW,Reconnaissance > T1596 > Search Open Technical Databases: WHOIS — Adversaries may search public WHOIS data for information about victims that can be used during targeting.
